Transcription_N,Class
"was mir gefallen würde wäre  zu der Rechnung die ich gerade diskretiert habe einen etwas  genaueres  genaueren Aufschluss etwas klarere Darstellung was zu tun ist nicht dass ich erst   die Servicenummer anrufen muss und die Dame ebenso kurzzeitig überfordert ist und mich zurück rufen muss  weiter",4
"weiter",0
"ja ich möchte dringend mit T-Online verbunden werden sonst nichts sonst hab' ich keine Wünsche  ich warte jetzt schon eine ganze Zeit Ihre Kollegin Frau  hat mich weiter verbinden wollen das hat aber nicht funktioniert bisher",b
"ich bin sehr zufrieden aber ich muss auflegen ich krieg' keine Luft mehr danke",0
"ich habe den Anruf nicht gekriegt vom Serviceberater  weiter  das ist eine Scheiße hier Mensch  ist doch ein Krampf hier",a
"weiter",0
"ich bin äußerst sehr zufrieden",0
"zufrieden  äußerst zufrieden",0
"Mitarbeiter sehr kompetent gute Beratung",0
"ja die junge Dame mit der ich telefoniert hab' war sehr freundlich zuvorkommen und hat sich  auch  meine Beschwerde hier wegen dem Rechnungs Vertrag angehört und hat versucht etwas für mich zu erreichen  sie hat mir gute Tipps gegeben und ich war sehr zufrieden damit",4
"die junge Frau war sehr nett aber  die anderen wir haben einen Termin ausgemacht der wurde nicht berücksichtigt und jetzt hab' ich wieder den Ärger ich muss weiter wieder telefonieren mit Ihnen und  jetzt kriegen wir den Techniker oder den Störungsmann erst morgen eine schlechte Abstimmung zwischen Telekom  wenn wir sagen zwischen  zwölf und sechzehn Uhr und und schreiben da rein zwischen acht und sechzehn Uhr ist das eine schlechte Abstimmung",3
"jetzt weiter  jetzt weiter",0
"so hallo  ich muss dazu sagen mit dem letzten Berater war ich ganz zufrieden oder sehr zufrieden  nur bis ich dort hin komm' ist unwahrscheinlich schwierig denn ist lästig mit einer  Computer Stimme zu sprechen  so das wär's eigentlich",0
"es hat jemand abgenommen es hat sich niemand gemeldet ich hab' mehrmals hallo gesagt und soll dann dazu eine Bewertung abgeben das ist totaler Mist ich wollte eigentlich eine Auskunft haben und wollte einen neuen Telefon Anschluss bestellen  aber das ist scheinbar unter dieser Nummer nicht möglich    dann werd' ich nach einer Kundennummer gefragt die ich ja noch nicht habe wenn ich keinen  Telefon Anschluss habe also ist das doch alles recht unsinnig was dort von mir verlangt wird und von dieser Computer Stimme aber wenn Sie mich zurückrufen wollen dann können Sie mich gerne noch mal anrufen und dann könnte ich Ihnen ein bisschen mehr sagen zur Qualitäts Sicherung meine Telefonnummer ist [tel] so und damit hab' ich mich jetzt identifiziert als [vorn]  aber das was gerade eben ist jetzt muss ich das Ganze noch mal anrufen und dann hoffe ich dass sich dann nach zehn Minuten mal wirklich eine Stimme meldet und nicht nur ein atmendes klapperndes etwas was da am anderen Ende war leider das war meine Bewertung Bewertung fünf  mangelhaft durchgefallen so das war meine",a
"ja ich wollte mich beschweren über irgendwas und ich angefangen meine Beschwerde vorzutragen war das Gespräch beendet und dann kam Ihr Service mit dieser Mitteilung mit dieser Bewertung ich möchte jetzt wieder einen Kundenberater wieder haben",b
"ja also ich bin  über das Internet gut an die  Störung Telefonnummer gekommen und  fühlte mich gut beraten das war schon alles",3
"hallo  ich hatte  ich hatte eine Frage zur einer Telefon Calling Card die $T Card Holiday aber die hat man mir nicht beantworten können",1
"weiter",0
"weiter",0
"so das ist jetzt mein vierter Anruf wegen meinem DSL Anschluss  und ich hab' jetzt  drei verschiedene Meinungen jetzt das letzte Gespräch die Dame hat sich  neutral gehalten die hat keinen Aussagen gemacht sonst habe ich immer Zusagen bekommen erstmal DSL sechzehn tausend ist möglich dann war es nicht mehr möglich weil ich hier irgendwie ungünstig wohne dann hab' ich VDSL beantragt das war dann plötzlich möglich jetzt ist es auch wieder nicht möglich gewesen nach meinem zweiten Anruf dann hab' ich  ins Kundencenter bei mir geguckt da komm' ich gar nicht mehr an meine Daten dran da sind Aufträge drin   drei tausender Leitung und dann  alles storniert oder in Arbeit in Arbeit und  ist ein heilloses Durcheinander beim letzten Gespräch jetzt bei der letzten Dame wo ich mit telefoniert hab' die hat sich ganz",1
"ich war sehr zufrieden mit dem Gespräch",0
"weiter",0
"das Gespräch war sehr zufrieden  stellend",0
"weiter  weiter",0
"unzufrieden",0
"zufrieden",0
"vielen Dank für die Möglichkeit der Abgabe einer Bewertung ich möchte gern anbringen dass es  noch etwas freundlicher wäre wenn der Kunde mehr Zeit hätte sein Anliegen auszusprechen ja der  der  Gesprächspartner auf der anderen Seite aus der Technik hat zwar die Situation erkannt aber man hat doch das  Gefühl unter Zeitdruck  handelt der  Techniker oder die  Technikerin oder die Dame an dem Platz die es angenommen hat und das wär' wünschenswert dass man hier noch einen Moment mehr Zeit hat um wirklich eine Tatsache aussprechen zu können danke sehr",0
"die Kollegin konnte mir zwar nicht weiter helfen da ich die Kundennummer nicht hatte  war aber sehr nett und hilfsbereit und höflich zu mir",0
"sehr zufrieden",0
"ich habe circa eine Viertelstunde in einer Warteschleife verbracht nur um in diesem Menü zu landen ich habe nicht einmal Kontakt zu einem Mitarbeiter gehabt immer nur zu einer Computer Stimme das ist eine Unverschämtheit",e
"ich habe circa eine Viertelstunde in einer Warteschleife verbracht nur um in diesem Menü zu landen ich habe nicht einmal Kontakt zu einem Mitarbeiter gehabt immer nur zu einer Computer Stimme das ist eine Unverschämtheit",a
"ja weiter machen wir weiter",0
"ich hab' ein sehr freundliches und nettes Gespräch geführt und kann mich nur bedanken vielen Dank",0
"also mit dem heutigen Gespräch war ich sehr sehr zufrieden es ich bin auch gleich durchgestellt worden das war wunderbar  ich hab' allerdings es bei der Telekom auch schon erlebt dass ich eine Viertelstunde hier dran war und nichts passierte aber heute war es einwandfrei danke",0
"ich war positiv überrascht",0
"das Gespräch war hervorragend die Warteschlange viel zu lang es waren vier und fünfzig Minuten  das ist erheblich zu lang",e
"ja ich war sehr zufrieden",0
"ich habe noch mit keinem Menschen bei Ihnen gesprochen ich warte seit mindestens zehn Minuten hier",a
"ich habe noch mit keinem Menschen bei Ihnen gesprochen ich warte seit mindestens zehn Minuten hier",e
"ja ich war sehr zufrieden mit der Dame die mich jetzt beraten hat ich kann nur positiv über sie sprechen also  war sehr zufrieden danke  weiter",0
"ich bin jetzt äußerst zufrieden",0
"ja ich war also mit dem Mitarbeiter der mich beraten hat in allen Punkten sehr zufrieden oder äußerst zufrieden er hat mich also wirklich in allen Belangen die ich gefragt habe und gebraucht habe sehr gut beraten danke weiter",1
"die Beratung war sehr gut",1
"ja wie gesagt was mir am meisten bei dieser ganzen Telefon Hotline und so weiter und sofort auf die Nerven geht das ist dieses ständige Computer Stimmen Gebrabbel also es wäre mir viel lieber ich würde viel eher persönlich mit jemandem sprechen können bevor ich immer irgendwo in irgendeiner dusseligen Warteschleife rumhänge auch wenn mich das nichts kostet das ist aber meine Zeit und die kosten auch Geld weiter",a
"weiter",0
"der Ansprechpartner war kompetent und konnte mir weiter helfen",0
"weiter",0
"die gute Beratung war nicht nur dieses Gespräch sondern am Freitag zuvor hatte ich auch eine Kollegin von Ihnen die das im Prinzip vorbereitet hatte deshalb ging das jetzt auch so schnell und prima über die Bühne danke schön  weiter",1
"Ihre Kundenberaterin kann nichts dafür aber seit dem zweiten zwölften bin ich ohne Telefonanschluss weil irgendeiner meinen $T ISDN Anschluss von ISDN auf analog umgeschalten hat  und somit ist mir das Telefonieren nicht mehr möglich ich versuch' seit dem zweiten zwölften das irgendwie hinzukriegen dass ich wieder telefonieren kann sieben Leute haben mich deswegen schon angerufen und es ist nichts passiert  weiter",1
"Ihre Kundenberaterin kann nichts dafür aber seit dem zweiten zwölften bin ich ohne Telefonanschluss weil irgendeiner meinen $T ISDN Anschluss von ISDN auf analog umgeschalten hat  und somit ist mir das Telefonieren nicht mehr möglich ich versuch' seit dem zweiten zwölften das irgendwie hinzukriegen dass ich wieder telefonieren kann sieben Leute haben mich deswegen schon angerufen und es ist nichts passiert  weiter",3
"das Berater Gespräch wurde unterbrochen es konnte keine Lösung herbei geführt werden ich darf jetzt das  Center noch mal anrufen und das finde ich sehr sehr schlecht danke",b
"ich bin von Ihrem Frageservice mitten im Informationsgespräch gestoppt worden und das gefällt mir ganz und gar nicht auf Wiederhören",b
"das Gespräch war sehr informativ für mich meine gestellten Fragen wurden  zur vollsten Zufriedenheit beantwortet war vom Gesprächsinhalt alles in Ordnung danke",1
"ja ich war also mit der Beratung sehr zufrieden  und ich muss auch sagen weil ich im Außenbüro von Ihnen war dort hab' ich eine andere Auskunft bekommen wie jetzt also positiv",1
"die Dame war sehr sehr nett und hat mich auch gut beraten war alles okay bin sehr zufrieden",1
"einwandfreie komfortable  Dame",0
"weiter",0
"weiter",0
"ich warte doch auf den anderen Menschen auf den Techniker deswegen kann das Gespräch ja noch nicht bewertet werden hallo",b
"weiter",0
"sehr zufrieden weiter",0
"weiter",0
"ich find' das traurig das an hier  tagelang hinterher telefonieren muss um endlich eine Antwort zu bekommen dass einem kein Telefon Anschluss während des Umzuges gelegt werden kann dass man das schon  sechs Wochen vorher bekannt gibt und man kriegt das nicht auf die Reihe eine vernünftige Leitung zu legen und man bekommt da drüber auch nicht Bescheid zumindest nicht telefonisch  man bekommt hier nur einen schriftlichen Bescheid dass die Leitung zu dem gewünschten Termin nicht möglich ist aber ein warum und weshalb wird einem nicht gesagt und am Telefon kann einem das keiner sagen weil keiner davon was weiß warum es so ist",1
"ich find' das traurig das an hier  tagelang hinterher telefonieren muss um endlich eine Antwort zu bekommen dass einem kein Telefon Anschluss während des Umzuges gelegt werden kann dass man das schon  sechs Wochen vorher bekannt gibt und man kriegt das nicht auf die Reihe eine vernünftige Leitung zu legen und man bekommt da drüber auch nicht Bescheid zumindest nicht telefonisch  man bekommt hier nur einen schriftlichen Bescheid dass die Leitung zu dem gewünschten Termin nicht möglich ist aber ein warum und weshalb wird einem nicht gesagt und am Telefon kann einem das keiner sagen weil keiner davon was weiß warum es so ist",d
"weiter",0
"weiter",0
"weiter  weiter",0
"weiter  weiter",0
"also der Kundenberater  [vorn ]  war sehr unfreundlich und ist überhaupt nicht auf meine Wünsche eingegangen",d
"ja ich bin eigentlich nur ein bisschen enttäuscht ich hab' Mitte Oktober also vor knapp zwei Monaten schon angerufen wegen einem neuen Telefon Anschluss wegen  wegen eines Umzug und da ist bis heute noch nichts passiert ich hab' hundert tausend Mal schon bei Ihnen angerufen ich werd' immer nur weiter geleitet muss dann  stundenlang warten bis ich zu irgendeinem durchgestellt werde ich find's langsam echt unverschämt",1
"ja ich bin eigentlich nur ein bisschen enttäuscht ich hab' Mitte Oktober also vor knapp zwei Monaten schon angerufen wegen einem neuen Telefon Anschluss wegen  wegen eines Umzug und da ist bis heute noch nichts passiert ich hab' hundert tausend Mal schon bei Ihnen angerufen ich werd' immer nur weiter geleitet muss dann  stundenlang warten bis ich zu irgendeinem durchgestellt werde ich find's langsam echt unverschämt",d
"ja ich bin eigentlich nur ein bisschen enttäuscht ich hab' Mitte Oktober also vor knapp zwei Monaten schon angerufen wegen einem neuen Telefon Anschluss wegen  wegen eines Umzug und da ist bis heute noch nichts passiert ich hab' hundert tausend Mal schon bei Ihnen angerufen ich werd' immer nur weiter geleitet muss dann  stundenlang warten bis ich zu irgendeinem durchgestellt werde ich find's langsam echt unverschämt",e
"weiter",0
"weiter",0
"ich warte immer noch darauf dass meine Beschwerde beantwortet wird beziehungsweise bearbeitet wird zum anderen warte ich immer noch auf eine Verbindung das man  die Leitung meiner Eltern wieder in Stand setzt und nicht mich einfach aus der Leitung raus schmeißt und jetzt irgendwelche  Befragungen mit mir starten will ich fühle mich ein wenig verarscht",3
"das Gespräch war sehr freundlich die Dame machte einen sehr kompetenten Eindruck und ich war mit den Informationen oder bin mit den Informationen sehr zufrieden danke sehr",1
"weiter",0
"ich bitte Sie um Hilfe bitte rufen Sie mich an [tel] [vorn]  es geht um meinen Telefon Anschluss recht herzlich Dank Wiederhören",1
"mit dem so  eben geführten  Telefonat mit Ihrer Mitarbeiterin war ich äußerst zufrieden    es ging problemlos wir haben über Dinge gesprochen  was  meine Rechnung betrifft sie war äußerst freundlich und sehr zuvorkommend",4
"die Beratung durch den  durch den  Kundenberater ist in Ordnung dieses computergesteuerte System am Anfang ist der letzte Mist",1
"weiter",0
"also ich versteh' nicht wie etwas angeboten wird und trotzdem halt  man von den Vorteilen ausgeschlossen ist  und  dazu auch noch  Versandkosten drauf kommen also unabhängig davon ob ich jetzt eine Vertragsverlängerung auf Kulanz weil dieser Vertrag überhaupt nicht mehr existiert also sehr merkwürdig das macht mich auch ziemlich unzufrieden und mies alles klar",1
"ich bin also sehr sehr zufrieden mit Ihrer Kollegin sie hat mir sehr schnell und gut geholfen  so dass ich morgen früh schon einen Techniker bekomme bei mir hängt ein Geschäft davon ab und ich bin also sehr glücklich dass das geklappt hat",3
"gut",0
"weiter",0
"ich bin sehr unzufrieden ich bin immer noch auf der Warteschleife stattdessen werden mir hier Fragen gestellt vielen Dank auch weiter",a
