"1256192887354.txt";"TRANSCRIPTION: Sie war nicht groß gewillt mir zu helfen
";"d";;;;;"Häufigkeit absolut";"Kategorie";"Häufigkeit relativ (%)"
"1256219564148.txt";"TRANSCRIPTION: Ihr Weiterleitungs System funktioniert in den meisten Fällen nicht
";"c";;;;;;;
"1256220044401.txt";"TRANSCRIPTION: bin mit überhaupt ich bin mit überhaupt keinem Mitarbeiter verbunden worden ich hab' mit niemanden gesprochen ich bin sehr verärgert
";"a";;;;;;;
"1256220404670.txt";"TRANSCRIPTION: @hes@ ich habe mich überreden lassen zu diesem Informations Service und habe das zweimal telefonisch widerrufen und hab' um eine schriftliche Bestätigung gebeten und das ist nicht möglich @hes@ eine schriftliche Bestätigung dafür zu bekommen und das ist äußerst ärgerlich
";1;;;;;;;
"1256220524910.txt";"TRANSCRIPTION: die die Dame hat mir frech den Hörer aufgelegt
";"b";;;;;;;
"1256220645146.txt";"TRANSCRIPTION: dass ich grad mitten im Gespräch bin seit [fragment] @hes@ seit einer Woche auf mein Modem warte und plötzlich hier in dieser komischen Befragung bin das ist kein Service
";1;"b";;;;;;
"1256220645408.txt";"TRANSCRIPTION: ich möchte gerne mit dem Mitarbeiter wieder sprechen den *ich* gerade am Apparat hatte
";"b";;;;;;;
"1256221005471.txt";"TRANSCRIPTION: ich habe keine richtige Auskunft bekommen weil ich möchte eine Telefonrechnung und das kann nicht sein dass ich für eine selbstverständliche Leistung bezahlen soll und das möchte ich dass das geändert wird
";1;;;;;;;
"1256221245723.txt";"TRANSCRIPTION: der Anschluss klappt nicht die Telekom ist nicht fähig hier einen Anschluss neu zu installieren obwohl der Auftrag schon *etliche* Wochen jetzt alt ist und die nette Dame am Telefon hat mir einfach den Hörer aufgelegt oder das Gespräch beendet
";1;"b";;;;;;
"1256221605976.txt";"TRANSCRIPTION: es kann nicht sein dass wenn ich etwas nachfrage ohne Kundennummer dass man das Gespräch einfach beendet und mir keine Möglichkeit gibt [fragment] [fragment] @hes@ mit dem Service Techniker zu sprechen
";"b";;;;;;;
"1256221846170.txt";"TRANSCRIPTION: ich hätte erwartet dass das Problem das ich habe mit der Rechnung auch entsprechend gelöst werden kann *eine* Lösung dieses Problems so wie erwartet hat nicht stattgefunden
";4;;;;;;;
"1256221966382.txt";"TRANSCRIPTION: es hat *ein* gutes Gespräch mit mir geführt das war in Ordnung aber am Schluss mir zu sagen mit Schwaben kann er nicht das find' ich *eine* Unverschämtheit
";"d";;;;;;;
"1256222207226.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256222327440.txt";"TRANSCRIPTION: meine Anfrage wurde nicht bearbeitet ich wurde einfach weitergeleitet
";"a";;;;;;;
"1256222687656.txt";"TRANSCRIPTION: ich hätte generell mal *einen* Mitarbeiter an der Leitung gehabt und wäre nicht @hes@ nach zehn Minuten Warten aus der Leitung geschmissen worden
";"a";;;;;;;
"1256223167929.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256223648200.txt";"TRANSCRIPTION: ich warte seit drei Wochen auf meinen Anschluss und Ihre Telefon Mitarbeiter haben mich nach dem fünften Anruf leider schon wieder aus der Leitung gekickt und ich muss mit einer Telefon Stimme telefonieren
";1;"b";;;;;;
"1256223889116.txt";"TRANSCRIPTION: ich wollte Auskunft haben über das neue ((Puls)) Handy was Sie mir angeboten haben der Kollege konnte mir keine Auskunft geben weil er's angeblich nicht in sein Computer [fragment] habe aber ich hab's bereits heute von Ihnen in der Post bekommen und deswegen meine Unzufriedenheit danke [pause] weiter
";1;;;;;;;
"1256224009325.txt";"TRANSCRIPTION: [fragment] wurde beendet bevor ich fertig war
";"b";;;;;;;
"1256224249549.txt";"TRANSCRIPTION: weiter [pause] weiter
";0;;;;;;;
"1256224249761.txt";"TRANSCRIPTION: das habe ich dem Herrn schon erzählt der mich @hes@ mit dem ich gesprochen habe
";0;;;;;;;
"1256224609837.txt";"TRANSCRIPTION: also ich wollte wissen wie viel die [tel] Nummer kostet vom Handy dann hat er gesagt eine Sekunde bitte und hat aufgelegt ja ohne ohne dass ich jetzt weiß wie viel das kostet
";1;"b";;;;;;
"1256224850085.txt";"TRANSCRIPTION: ich konnte gar nicht meine Beschwerde erklären der hat [fragment] also einfach aufgelegt der Kundenservice
";"b";;;;;;;
"1256224970312.txt";"TRANSCRIPTION: der lange Zeit
";"e";;;;;;;
"1256225450548.txt";"TRANSCRIPTION: @hes@ Gegenargumentation des Kunden wird einfach weggedrückt und hat man kein kein keine Argumente vorzubringen wenn der Kunde sich beschwert
";"b";;;;;;;
"1256225571443.txt";"TRANSCRIPTION: der Service komplett
";0;;;;;;;
"1256225691662.txt";"TRANSCRIPTION: der Anschluss ist die größte Scheiße und das ist die größte Abzocke die es gibt
";0;;;;;;;
"1256226292668.txt";"TRANSCRIPTION: erstens es hat ewig gedauert bis ich endlich eine Person gefunden hab' vom Servicecenter und die war sehr unfreundlich und die heißt Frau [vorn] [nachn] der können Sie [fragment] gerne die gelbe Karte geben das ist *eine* ((Verwahlung)) nicht gleich kündigen wenn man im Servicecenter in Deutschland arbeitet und wir sind nicht acht hundert fünf und siebzig im Kongo sondern zwei tausend neun in Deutschland und da kann man doch *ein* bisschen freundlich und höflich sein das war sie nicht Mitten im Gespräch hat die aufgelegt und meine [fragment] meine einzige Frage war wieso ist das so *viel* @hes@ Geld aufgelaufen bei [tel] ich krieg' hier *eine* Zusatz Rechnung ich bin (()) krieg' *eine* Zusatz Rechnung von vier hundert sechzig Euro [vocal] ich war gar nicht da @hes@ es kann doch nicht sein dass Ihre Gesellschaft mir was
";"d";"b";4;;;;;
"1256226533578.txt";"TRANSCRIPTION: seit vierzehnten siebten null neun hab' ich eine Umstellung auf ein anderen Tarif beantragt schriftlich im T-Punkt bis heute ist dieser Vertrag noch nicht umgestellt der Service bei der Telekom ist eine Katastrophe ich werde auch den Vorstand informieren
";1;"d";;;;;;
"1256226653827.txt";"TRANSCRIPTION: kann mich keiner erklären warum so was passiert ist
";0;;;;;;;
"1256226774065.txt";"TRANSCRIPTION: dass mir bei meinem Problem nicht geholfen wird mich mal [fragment] mich einfach wegdrückt das kann mal gar *nicht* sein ich bin Kunde ich möcht' gern zurückgerufen werden ich möcht' dass meine Telefonleitung behoben wird und dass die Dame die mich [fragment] grad eben bedient hat ordentlich auf *den* Sack kriegt ganz einfach [pause] [garbage]
";"b";3;;;;;;
"1256226894349.txt";"TRANSCRIPTION: Termineinhaltung Ihrer Techniker find' ich nicht in Ordnung man wird hingehalten es passiert nicht das was gesagt wird und so weiter und so weiter ich könnte noch ganz viel aufführen ich bin einfach unzufrieden sauer und frustriert von der Telekom zur Zeit kein Bock
";1;;;;;;;
"1256227134619.txt";"TRANSCRIPTION: hallo hallo
";0;;;;;;;
"1256227614850.txt";"TRANSCRIPTION: der Berater hat mich aus der Leitung geworfen ich hab' gar keine Info erhalten
";"b";;;;;;;
"1256227855116.txt";"TRANSCRIPTION: es kam keinerlei Antwort auf mein Problem es war nur Stille zu hören
";"a";;;;;;;
"1256228096045.txt";"TRANSCRIPTION: bei Ihnen ich habe bei Ihnen zum sieben und zwanzigsten siebten einen Vertrag abgeschlossen über Call_and_surf basic und mir wurden einmal temporäre Internetdateien geschickt die nach acht Wochen verfielen und jetzt wart' ich schon wieder einige Wochen auf einen neuen auf neue Zugangsdateien das ist unglaublich ich war bisher sechs bis sieben Mal im Telekom Shop hab' auch *ein* paar Mal die Hotline angerufen und nichts tut sich ich bin äußerst unzufrieden und allmählich genervt danke
";1;;;;;;;
"1256228096391.txt";"TRANSCRIPTION: Mitarbeiter war nicht einsichtig er sagt mir es wär' ganz normal oder super eine Wartezeit auf ein Telefonpartner bei [fragment] Telekom mit fünf Minuten da bin ich anderer Meinung [garbage]
";"e";;;;;;;
"1256228576461.txt";"TRANSCRIPTION: ich war nach einer Viertelstunde Warteschleife [vocal] mit einem Bearbeiter jetzt verbunden und @hes@ er hat angefangen mit mir zu sprechen und dann war das Gespräch beendet und dann kamen Sie mit den Fragen ob ich zufrieden bin oder nicht also wenn man das Gespräch mit mir unterbricht bin ich unzufrieden und deswegen hab' ich die Fünf gedrückt
";"b";;;;;;;
"1256228816714.txt";"TRANSCRIPTION: ja @hes@ wie so üblich bin ich @hes@ nicht mal verbunden worden sondern einfach durchgerasselt durch die Warteschleife
";"a";;;;;;;
"1256228817725.txt";"TRANSCRIPTION: seit zwei Tagen versuchen Sie unseren T-DSL Anschluss wieder zu reparieren ich werd' von $A nach $B geschickt es kommt kein Mensch es tut sich überhaupt nichts und es fühlt sich keiner dafür verantwortlich und zuständig und dreimal wurd' ich mittlerweile aus der Leitung geschmissen das ist wirklich *eine* Zumutung
";3;"b";"d";;;;;
"1256229777786.txt";"TRANSCRIPTION: die Dame am Telefon hat leider meine Frage nicht verstanden als ich meine Frage umformuliert habe hat sie mich aus der Leitung geschmissen
";"b";;;;;;;
"1256229898141.txt";"TRANSCRIPTION: die Mitarbeiterin war sehr nett es gar kein Problem aber ich habe ein Problem ich wollte von zwei Namen nur tauschen das heißt @hes@ auf die bestehenden [fragment] Verträge auswechseln nur die Namen und das @hes@ scheint nicht möglich zu sein und @hes@ sie hat mir dann auch angeboten dass da da müssten neue Verträge gemacht werden und @hes@ [fragment] das [fragment] das ich mein' das ist doch einfach nur nur *ein* Namens Wechsel [fragment] Anschrift und alles ist gleich geblieben und das versteh' ich nicht so ganz dass das nicht geht machbar sein soll *so* einfach Dankeschön
";1;;;;;;;
"1256230138469.txt";"TRANSCRIPTION: jemand ans Telefon [fragment] bis ich jemand am Telefon @hes@ bekommen habe da hat sehr lange gedauert
";"e";;;;;;;
"1256230259445.txt";"TRANSCRIPTION: die Wartezeit bevor sich der freundliche Sachbearbeiter meldete betrug siebzehn Minuten das ist kein Service weiter
";"e";;;;;;;
"1256230859695.txt";"TRANSCRIPTION: weiter [noise]
";0;;;;;;;
"1256230860018.txt";"TRANSCRIPTION: wir stehen seit dem siebten zehnten ohne Telefon werden in den Warteschleifen immer wieder vertröstet haben schon zwei Termine die nicht eingehalten wurden heute zwischen sechzehn [fragment] [fragment] [fragment] und und achtzehn Uhr und jetzt [fragment] schaltet sich [fragment] Ihr Mitarbeiter einfach aus und gibt an Ihre Stelle weiter noch unzufriedener kann kein Kunde von Ihnen sein [garbage]
";1;"b";;;;;;
"1256231100079.txt";"TRANSCRIPTION: die Telekom ist Deutschlands größter Saftladen unfähig Leitungen zu unterhalten oder diese in Stand zu setzen zu blöd zum Beraten zu dumm zum allem
";0;;;;;;;
"1256231220358.txt";"TRANSCRIPTION: das Gespräch wurde beendet bevor ich überhaupt Hilfe bekommen habe
";"b";;;;;;;
"1256231820581.txt";"TRANSCRIPTION: ja das ist hier alles bisschen @hes@ irgendwie @hes@ Kundenbefragung ist ja schön und gut aber eigentlich @hes@ sollte es mal weitergehen [vocal] wir haben das Problem und @hes@ würden's gern gelöst haben danke
";0;;;;;;;
"1256232060791.txt";"TRANSCRIPTION: ich wurde einfach weggedrückt ohne eine Antwort Dankeschön
";"b";;;;;;;
"1256232421806.txt";"TRANSCRIPTION: lange warten
";"e";;;;;;;
"1256233142222.txt";"TRANSCRIPTION: ich habe keine Angaben darüber bekommen wann es *einen* Techniker morgen bekommen sollte der Kundenbetreuer war nicht in der Lage *mich* mit jemand zu verbinden der mir weiterhelfen könnte der Kundenbetreuer Herr [nachn] hat mich in vielen hinsichten belogen und viele Aussagen waren stimmten nicht mit dem ein die vorher aus @hes@ ausgemacht wurden und deswegen bin ich sehr enttäuscht darüber dass Euer Service auf Lügen beruht und finde man kann eigentlich auch den Menschen die Wahrheit sagen statt die Menschen immer nur warten zu lassen Dankeschön [garbage] ach übrigens dazu @hes@ vorhin hat mir eine Kollegin gesagt ich soll zwei drei Stunden auf jemanden warten auf ein Techniker warten der Kollege behauptet dass jemand da eingetragen hat dass man nicht kommen wird also dass kein Techniker zu mir kommen wird aber es hat nicht gesagt bekommen dass man @hes@ dass ich nicht zu warten brauche warum bekomm' ich keinen Rückruf das versteh' ich nicht
";1;"d";;;;;;
"1256233742460.txt";"TRANSCRIPTION: ich war mit der Beratung äußerst zufrieden Sie haben das nur falsch verstanden war sehr gut die Beratung
";0;;;;;;;
"1256233982704.txt";"TRANSCRIPTION: ich habe mit der Frau [nachn] gesprochen und @hes@ Frau [nachn] hat einfach vorzeitig das Gespräch beendet und hat meine Fragen und ist auf meine Fragen nicht eingegangen und hat auch @hes@ ja @hes@ hat war sehr sehr unfreundlich und sehr ungehalten am Telefon @hes@ und hat meine Auskunft überhaupt nicht behandelt
";"b";;;;;;;
"1256233982910.txt";"TRANSCRIPTION: wie soll man ein Gespräch bewerten das nicht stattgefunden hat
";"a";;;;;;;
"1256234343028.txt";"TRANSCRIPTION: es gab keine es gab keine Beratung ich wurde einfach *jetzt* weitergeleitet [fragment] [fragment] wurden nicht erfüllt meine Leitung ist immer noch [fragment] verschlossen ich komm' einfach nicht ins Internet und @hes@ hab' immer noch kein Telefon wieso nicht ich werd' hier *langsam* stinksauer weiter
";"a";1;;;;;;
"1256234943919.txt";"TRANSCRIPTION: es gab [fragment] keine Erklärung warum kein schnelleres DSL möglich ist obwohl andere Häuser weiter entfernt sind und schnelleres DSL bekommen
";1;;;;;;;
"1256235064160.txt";"TRANSCRIPTION: die Dame Kenntnisse von die Telefon Apparate war unzureichend
";"d";;;;;;;
"1256235424453.txt";"TRANSCRIPTION: keinerlei Information erhaltne ich hab' keine Information bekommen
";0;;;;;;;
"1256235425466.txt";"TRANSCRIPTION: ich bin unzufrieden mit dem Service weil seit mittlerweile neun Tagen mein DSL Anschluss ausgefallen ist ich hab' sieben Tage mit Ihrer Hotline telefoniert mit den verschiedensten Leuten keiner konnte mir direkt weiterhelfen und ich bin wirklich sehr unzufrieden mit dem Service mittlerweile ist mein DSL Anschluss nach circa ja zehn Stunden wo er funktioniert hat wieder ausgefallen und jetzt geht das gleiche Spiel wahrscheinlich die nächsten sieben Tage wieder von vorne los und man wird nur noch von einer Person zur andern weitergeleitet in Ihrem System deswegen bin ich unzufrieden
";3;;;;;;;
"1256235905523.txt";"TRANSCRIPTION: die es war sehr patzig
";"d";;;;;;;
"1256236025748.txt";"TRANSCRIPTION: hatte eine Frage wurde an ((sich)) weiterverbunden und dann aufgelegt find' ich ganz beschissen zahlt man muss man mit Kreditkarte vorausbezahlen und muss ((mich)) tagelang warten bis das System endlich mal *freigeschaltet* wird
";1;"b";;;;;;
"1256236386051.txt";"TRANSCRIPTION: ich erhielt bei der Rufnummer [tel] die Mitteilung der Teilnehmer ist zur Zeit nicht erreichbar und nun wollt' ich von der Störungsstelle erfahren warum er nicht erreichbar ist ist es *eine* technische* Störung oder was und da hat die Dame mir gesagt ja das brauchen wir nicht zu wissen also das ist mangelhaft sehr mangelhaft ich hab' zwar *einen* Telekom Anschluss aber ich werd' mir überlegen ob ich den noch lange behalten kann das war's Dankeschön [garbage]
";3;;;;;;;
"1256236386279.txt";"TRANSCRIPTION: ich wurde gar nicht mit einem Kundenberater verbunden
";"a";;;;;;;
"1256237946400.txt";"TRANSCRIPTION: die Beraterin war sehr unfreundlich und hat den Kunden nicht ausreden lassen und hat einfach aufgelegt [vocal]
";"d";"b";;;;;;
"1256238426739.txt";"TRANSCRIPTION: gegen meine Einwände werden nicht eingegangen und und der Ihr Mitarbeiter wird einfach aufgelegt
";"b";;;;;;;
"1256238546977.txt";"TRANSCRIPTION: Ihr Berater hat mich nicht ausreden lassen gleichzeitig hat er nicht versucht mir irgendwas Neues anzubieten und dann hat er nur aufgelegt Peng
";"b";;;;;;;
"1256239267233.txt";"TRANSCRIPTION: der persönliche Berater hat einfach ohne Grund aufgelegt
";"b";;;;;;;
"1256240467522.txt";"TRANSCRIPTION: ja es geht immer noch nicht geht *nicht* [breath]
";0;;;;;;;
"1256245147892.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256247068832.txt";"TRANSCRIPTION: ich bin gar nicht verbunden worden
";"a";;;;;;;
"1256260989361.txt";"TRANSCRIPTION: der Herr [vorn] [nachn] hat mich überhaupt nicht beraten er ist mir ins Wort gefallen und war unfreundlich
";"d";;;;;;;
"1256266029817.txt";"TRANSCRIPTION: ich bekam beim zweiten Gespräch nachdem das erste unterbrochen wurde warum auch immer kam ich beim zweiten Gespräch überhaupt keine Auskunft weil ich die Kundennummer nicht parat hatte im ersten Gespräch ging es @hes@ des Weiteren @hes@ habe ich Probleme mit meinem Telefonanschluss und mir wurde von einem Mitarbeiter im ersten Gespräch nicht in diesem jetzt sondern vorher gesagt dass eine weitere Prüfung sollte sie ergebnislos sein kostenpflichtig sei das ist nicht tragbar
";"b";1;;;;;;
"1256268790145.txt";"TRANSCRIPTION: ich wurde einfach weggedrückt
";"b";;;;;;;
"1256276470579.txt";"TRANSCRIPTION: ich musste mich gerade von @hes@ der Dame mit der ich telefoniert hatte @hes@ sehr laut @hes@ @hes@ @hes@ @hes@ unterhalten weil Sie mir @hes@ @hes@ sehr negativ @hes@ @hes@ geantwortet hat
";"d";;;;;;;
"1256279231622.txt";"TRANSCRIPTION: die Mitteilung dass @hes@ die Leitung freigeschaltet worden ist ist nicht gekommen und ich warte schon seit zwei Tagen
";1;;;;;;;
"1256280192658.txt";"TRANSCRIPTION: die Kündigung meiner @hes@ meines DSL und Festnetzanschlusses ist bei Ihnen angeblich nicht eingegangen obwohl ich schon seit dem vierten neunten gekündigt habe
";1;;;;;;;
"1256280312924.txt";"TRANSCRIPTION: meine Rechnung anstatt fünfzehn im Monat immer ab *ersten* des Monats immer abbuchen das ist bei der Telekom leider nicht möglich das so was funktioniert ich dachte Ihr seid *ein* kundenfreundliches Telefonanbieter aber wohl nicht
";4;;;;;;;
